מוקד,עיר,סטטוס 26/27,ודאות,רמז מאמן,היקף,השלב הבא
בית ספר בית צורי,"ת""א",ממשיך,משוער,ליז?,עירייה+ 2 שעות,
בית ספר מגן,"ת""א",ממשיך,חסר,,עירייה+?,
בית ספר בלוך,"ת""א",ממשיך,משוער,ליז?,עירייה+2/3 שעות,פולואפ
"חט""ב שמיר","ת""א",ממשיך,חסר,,לא ידוע כנראה 3 שעות,
בית ספר מרחבים יבנה,יבנה,ממשיך,משוער,סיון?,לא ידוע,פולואו אפ 5.8
בית ספר נופי ים,"ת""א",ממשיך,חסר,,עירייה+4 כנראה,נקבעה פגישה
בית הספר טבע,"ת""א",ממשיך,משוער,פיקאדו?,8 שעות,
בית ספר יהודה מכבי,"ת""א",ממשיך,חסר,,,מנהל מתחלף
בית ספר אלומות,"ת""א",ממשיך,חסר,,רק עירייה,
בית ספר כפיר,"ת""א",ממשיך,חסר,,רק עירייה,
בית ספר רוקח,"ת""א",לא ידוע,חסר,,,דין ינסה
גלים רחובות,רחובות,חדש,חסר,,5 שעות,נשלחה הצעת מחיר
